srcLabelIx,srcLabelName,dstLabelId
210,Aethopyga flagrans,314
211,Aethopyga gouldiae,315
212,Aethopyga guimarasensis,316
213,Aethopyga ignicauda,317
214,Aethopyga jefferyi,318
215,Aethopyga magnifica,320
216,Aethopyga mystacalis,321
217,Aethopyga nipalensis,322
218,Aethopyga pulcherrima,324
219,Aethopyga saturata,325
220,Aethopyga shelleyi,326
221,Aethopyga siparaja,327
222,Aethopyga temminckii,328
223,Aethopyga vigorsii,330
224,Afrixalus delicatus,335
225,Afrixalus fornasini,337
226,Afropavo congensis,349
227,Afrotis afra,350
228,Afrotis afraoides,352
229,Agalychnis callidryas,355
230,Agalychnis dacnicolor,356
231,Agalychnis moreletii,358
232,Agamia agami,363
233,Agapornis canus,367
234,Agapornis fischeri,368
235,Agapornis lilianae,369
236,Agapornis nigrigenis,370
237,Agapornis personatus,371
238,Agapornis pullarius,372
239,Agapornis roseicollis,373
240,Agapornis taranta,375
241,Agelaioides badius,376
242,Agelaioides fringillarius,377
243,Oreopsar bolivianus,378
244,Agelaius assimilis,379
245,Agelaius humeralis,380
246,Agelaius phoeniceus,381
247,Agelaius tricolor,382
248,Agelaius xanthomus,383
249,Agelasticus cyanopus,386
250,Agelasticus thilius,387
251,Agelasticus xanthophthalmus,388
252,Aglaeactis aliciae,390
253,Aglaeactis cupripennis,392
254,Aglaeactis pamela,393
255,Aglaiocercus coelestis,395
256,Aglaiocercus kingii,396
257,Aglais io,397
258,Aglaothorax morsei,401
259,Aglaothorax ovata,402
260,Agricola pallidus,407
261,Agriornis albicauda,409
262,Agriornis lividus,410
263,Agriornis micropterus,411
264,Agriornis montanus,412
265,Agropsar philippensis,415
266,Agropsar sturninus,416
267,Ailuroedus arfakianus,419
268,Ailuroedus crassirostris,422
269,Ailuroedus geislerorum,423
270,Ailuroedus maculosus,425
271,Ailuroedus melanocephalus,426
272,Ailuroedus melanotis,427
273,Ailuroedus stonii,428
274,Ailuropoda melanoleuca,429
275,Aimophila notosticta,432
276,Aimophila rufescens,433
277,Aimophila ruficeps,434
278,Aix galericulata,436
279,Aix sponsa,437
280,Akletos goeldii,440
281,Akletos melanoceps,441
282,Alaemon alaudipes,442
283,Alauda arvensis,444
284,Alauda gulgula,445
285,Alauda leucoptera,446
286,Alaudala athensis,448
287,Alaudala cheleensis,449
288,Alaudala heinei,450
289,Alaudala rufescens,451
290,Alaudala raytal,453
291,Alaudala somalica,454
292,Albarracinia zapaterii,456
293,Alca torda,459
294,Alcedo atthis,460
295,Alcedo coerulescens,461
296,Alcedo euryzona,462
297,Alcedo peninsulae,463
298,Alcedo meninting,465
299,Alcedo quadribrachys,466
300,Alcedo semitorquata,467
301,Alces alces,468
302,Schoeniparus brunneus,470
303,Alcippe brunneicauda,471
304,Schoeniparus castaneceps,472
305,Schoeniparus cinereus,473
306,Alcippe davidi,474
307,Schoeniparus dubius,475
308,Alcippe fratercula,476
309,Alcippe grotei,477
310,Alcippe hueti,478
311,Schoeniparus klossi,479
312,Alcippe morrisonia,480
313,Alcippe nipalensis,481
314,Alcippe peracensis,482
315,Alcippe poioicephala,483
316,Alcippe pyrrhoptera,484
317,Schoeniparus rufogularis,485
318,Alcurus striatus,487
319,Aleadryas rufinucha,491
320,Alectoris barbara,493
321,Alectoris chukar,494
322,Alectoris graeca,495
323,Alectoris magna,496
324,Alectoris melanocephala,497
325,Alectoris philbyi,498
326,Alectoris rufa,499
327,Alectroenas pulcherrimus,501
328,Alectrurus risora,503
329,Alectrurus tricolor,504
330,Alectura lathami,505
331,Aleeta curvicosta,506
332,Alethe castanea,507
333,Alethe diademata,508
334,Alipiopsitta xanthops,510
335,Alisterus chloropterus,512
336,Alisterus scapularis,513
337,Alle alle,514
338,Allenia fusca,515
339,Alligator mississippiensis,517
340,Alligator sinensis,518
341,Allobates femoralis,523
342,Allobates marchesianus,526
343,Allobates talamancae,532
344,Allonemobius allardi,538
345,Allonemobius fasciatus,539
346,Allonemobius griseus,541
347,Allonemobius maculatus,542
348,Allonemobius shalontaki,543
349,Allonemobius socius,544
350,Allonemobius sparsalus,545
351,Allonemobius tinnulus,547
352,Allonemobius walkeri,548
353,Alophoixus bres,553
354,Alophoixus tephrogenys,554
355,Iole finschii,555
356,Alophoixus flaveolus,557
357,Alophoixus frater,558
358,Alophoixus ochraceus,559
359,Alophoixus ruficrissus,560
360,Alophoixus pallidus,561
361,Alophoixus phaeocephalus,562
362,Alopochelidon fucata,563
363,Alopochen aegyptiaca,564
364,Alouatta belzebul,565
365,Alouatta caraya,566
366,Alouatta guariba,568
367,Alouatta macconnelli,569
368,Alouatta palliata,570
369,Alouatta pigra,571
370,Alouatta seniculus,573
371,Alouatta,574
372,Alytes cisternasii,581
373,Alytes obstetricans,584
374,Amadina erythrocephala,585
375,Amadina fasciata,586
376,Amalocichla incerta,587
377,Amalocichla sclateriana,588
378,Amandava amandava,589
379,Amandava formosa,590
380,Amandava subflava,591
381,Amaurolimnas concolor,593
382,Zapornia akool,594
383,Zapornia flavirostra,595
384,Amaurornis isabellina,597
385,Amaurornis moluccana,599
386,Amaurornis olivacea,600
387,Zapornia olivieri,601
388,Amaurornis phoenicurus,602
389,Amaurospiza aequatorialis,603
390,Amaurospiza concolor,605
391,Amaurospiza moesta,606
392,Amazilis amazilia,607
393,Chrysuronia boucardi,609
394,Amazilia luciae,610
395,Amazilia rutila,611
396,Amazilia tzacatl,612
397,Amazilia yucatanensis,613
398,Amazona aestiva,614
399,Amazona agilis,615
400,Amazona albifrons,616
401,Amazona amazonica,617
402,Amazona arausiaca,618
403,Amazona auropalliata,619
404,Amazona autumnalis,620
405,Amazona diadema,621
406,Amazona barbadensis,622
407,Amazona brasiliensis,623
408,Amazona collaria,624
409,Amazona dufresniana,625
410,Amazona farinosa,626
411,Amazona guatemalae,627
412,Amazona festiva,628
413,Amazona finschi,629
414,Amazona guildingii,630
415,Amazona imperialis,631
416,Amazona kawalli,632
417,Amazona leucocephala,633
418,Amazona mercenarius,634
419,Amazona ochrocephala,635
420,Amazona oratrix,636
421,Amazona pretrei,637
422,Amazona rhodocorytha,638
423,Amazona tucumana,640
424,Amazona ventralis,641
425,Amazona versicolor,642
426,Amazona vinacea,643
427,Amazona viridigenalis,644
428,Amazona vittata,645
429,Amazona xantholora,646
430,Amazonetta brasiliensis,647
431,Amblycercus holosericeus,652
432,Amblycorypha alexanderi,653
433,Amblycorypha arenicola,654
434,Amblycorypha bartrami,655
435,Amblycorypha carinata,657
436,Amblycorypha floridana,658
437,Amblycorypha huasteca,659
438,Amblycorypha longinicta,661
439,Amblycorypha oblongifolia,662
440,Amblycorypha rotundifolia,665
441,Amblycorypha,667
442,Amblyornis inornata,670
443,Amblyornis macgregoriae,671
444,Amblyospiza albifrons,674
445,Amblyramphus holosericeus,675
446,Ameerega hahneli,684
447,Ameerega picta,688
448,Ameerega trivittata,691
449,Amietia delalandii,698
450,Amietia fuscigula,699
451,Amietia poyntoni,700
452,Ammodramus aurifrons,705
453,Ammodramus humeralis,706
454,Ammodramus savannarum,707
455,Ammomanes cinctura,708
456,Ammomanes deserti,709
457,Ammomanes phoenicura,710
458,Ammomanopsis grayi,711
459,Ammonastes pelzelni,712
460,Ammoperdix griseogularis,713
461,Ammoperdix heyi,714
462,Ammospermophilus harrisii,716
463,Ammospiza caudacuta,719
464,Ammospiza leconteii,720
465,Ammospiza maritima,721
466,Ammospiza nelsoni,722
467,Ampeliceps coronatus,732
468,Ampelioides tschudii,733
469,Ampelion rubrocristatus,734
470,Ampelion rufaxilla,735
471,Ampelornis griseiceps,736
472,Amphipsalta cingulata,740
473,Amphipsalta strepitans,741
474,Amphipsalta zelandica,742
475,Amphispiza bilineata,743
476,Amphispizopsis quinquestriata,744
477,Amytornis ballarae,748
478,Amytornis barbatus,749
479,Amytornis dorotheae,750
480,Amytornis goyderi,751
481,Amytornis housei,752
482,Amytornis merrotsyi,753
483,Amytornis modestus,754
484,Amytornis textilis,755
485,Amytornis oweni,756
486,Amytornis purnelli,757
487,Amytornis rowleyi,758
488,Amytornis striatus,759
489,Amytornis whitei,760
490,Anabacerthia amaurotis,762
491,Anabacerthia lichtensteini,763
492,Anabacerthia ruficaudata,764
493,Anabacerthia striaticollis,765
494,Anabacerthia variegaticeps,766
495,Anarhynchus montanus,767
496,Anarhynchus pallidus,768
497,Anabathmis newtonii,771
498,Anabathmis reichenbachii,772
499,Anabazenops dorsalis,773
500,Anabazenops fuscus,774
501,Anabrus simplex,776
502,Anadrymadusa ornatipennis,780
503,Uromyias agilis,783
504,Uromyias agraphia,784
505,Anairetes alpinus,785
506,Anairetes fernandezianus,786
507,Anairetes flavirostris,787
508,Anairetes nigrocristatus,788
509,Anairetes parulus,789
510,Anairetes reguloides,790
511,Anaplectes rubriceps,791
512,Anapsaltoda pulchra,792
513,Anarhynchus alexandrinus,793
514,Anarhynchus alticola,795
515,Anarhynchus atrifrons,798
516,Anarhynchus bicinctus,799
517,Anarhynchus collaris,800
518,Anarhynchus dealbatus,801
519,Anarhynchus falklandicus,802
520,Anarhynchus frontalis,803
521,Anarhynchus leschenaultii,805
522,Anarhynchus marginatus,807
523,Anarhynchus mongolus,808
524,Anarhynchus nivosus,809
525,Anarhynchus obscurus,810
526,Anarhynchus pecuarius,811
527,Anarhynchus peronii,812
528,Anarhynchus ruficapillus,813
529,Anarhynchus wilsonia,815
530,Anas acuta,816
531,Anas albogularis,817
532,Anas andium,818
533,Anas bahamensis,819
534,Anas capensis,821
535,Anas carolinensis,822
536,Anas castanea,823
537,Anas chlorotis,824
538,Spatula clypeata,825
539,Anas crecca,827
540,Spatula cyanoptera,828
541,Anas diazi,830
542,Anas erythrorhyncha,832
543,Mareca falcata,833
544,Anas flavirostris,835
545,Sibirionetta formosa,836
546,Anas fulvigula,838
547,Anas georgica,839
548,Anas gibberifrons,840
549,Anas gracilis,841
550,Anas laysanensis,844
551,Anas luzonica,845
552,Anas melleri,846
553,Anas nesiotis,847
554,Mareca penelope,848
555,Spatula platalea,850
556,Anas platyrhynchos,852
557,Anas poecilorhyncha,853
558,Spatula querquedula,854
559,Anas rubripes,856
560,Mareca sibilatrix,857
561,Spatula smithii,859
562,Anas sparsa,861
563,Mareca strepera,862
564,Anas superciliosa,864
565,Anas undulata,865
566,Anas wyvilliana,866
567,Anas zonorhyncha,867
568,Anastomus lamelligerus,869
569,Anastomus oscitans,870
570,Anaxipha delicatula,873
571,Anaxipha exigua,874
572,Anaxipha imitator,877
573,Anaxipha litarena,879
574,Anaxipha tinnulacita,885
575,Anaxipha tinnulenta,886
576,Anaxipha vernalis,887
577,Anaxipha,888
578,Anaxyrus americanus,889
579,Anaxyrus boreas,890
580,Anaxyrus californicus,891
581,Anaxyrus canorus,892
582,Anaxyrus cognatus,893
583,Anaxyrus debilis,895
584,Anaxyrus fowleri,897
585,Anaxyrus hemiophrys,898
586,Anaxyrus houstonensis,900
587,Anaxyrus microscaphus,903
588,Anaxyrus punctatus,905
589,Anaxyrus quercicus,906
590,Anaxyrus speciosus,908
591,Anaxyrus terrestris,909
592,Anaxyrus woodhousii,911
593,Ancistrops strigilatus,913
594,Andigena cucullata,915
595,Andigena hypoglauca,916
596,Andigena laminirostris,917
597,Andigena nigrirostris,918
598,Andinobates opisthomelas,922
599,Androdon aequatorialis,925
600,Andropadus importunus,926
601,Anhima cornuta,944
602,Anhinga anhinga,945
603,Anhinga melanogaster,946
604,Anhinga novaehollandiae,947
605,Anhinga rufa,948
606,Anhydrophryne rattrayi,951
607,Animalia,952
608,Anisognathus igniventris,953
609,Anisognathus lacrymosus,954
610,Anisognathus melanogenys,955
611,Anisognathus notabilis,956
612,Anisognathus somptuosus,957
613,Anodorhynchus hyacinthinus,959
614,Anodorhynchus leari,960
615,Anomaloglossus baeobatrachus,964
616,Anomalospiza imberbis,967
617,Anopetia gounellei,975
618,Anorrhinus austeni,980
619,Anorrhinus galeritus,981
620,Anorrhinus tickelli,982
621,Anous minutus,985
622,Anous stolidus,986
623,Anous tenuirostris,987
624,Anser albifrons,988
625,Anser anser,989
626,Anser brachyrhynchus,991
627,Anser caerulescens,992
628,Anser canagicus,994
629,Anser cygnoides,996
630,Anser erythropus,998
631,Anser fabalis,999
632,Anser indicus,1000
633,Anser rossii,1001
634,Anser serrirostris,1003
635,Anseranas semipalmata,1004
636,Anthipes monileger,1024
637,Anthipes solitaris,1025
638,Anthobaphes violacea,1026
639,Anthocephala floriceps,1028
640,Anthochaera carunculata,1029
641,Anthochaera chrysoptera,1030
642,Anthochaera lunulata,1031
643,Anthochaera paradoxa,1032
644,Anthochaera phrygia,1033
645,Hydrornis phayrei,1034
646,Anthornis melanura,1039
647,Anthoscopus caroli,1040
648,Anthoscopus flavifrons,1041
649,Anthoscopus minutus,1042
650,Anthoscopus musculus,1043
651,Anthoscopus parvulus,1044
652,Anthoscopus punctifrons,1045
653,Anthracoceros albirostris,1046
654,Anthracoceros coronatus,1047
655,Anthracoceros malayanus,1048
656,Anthracoceros marchei,1049
657,Anthracoceros montani,1050
658,Anthracothorax aurulentus,1051
659,Anthracothorax dominicus,1052
660,Anthracothorax mango,1053
